path,target,predictors,rows_used,baseline_r2,baseline_mae,baseline_rmse,linear_train_r2,linear_test_r2,linear_mae,linear_rmse,rf_train_r2,rf_test_r2,rf_mae,rf_rmse,best_model,beats_baseline,decision,raw_formula,standardized_formula
Sleep efficiency → Daily stress,Daily_stress,Efficiency,21,-1.1976,12.6531,15.4814,0.0003,-1.1904,12.5802,15.4559,0.3222,-1.7677,14.0584,17.3738,linear regression,Yes,use with caution,Daily_stress = 39.844312 -0.037778 * Efficiency,Daily_stress = 36.714286 -0.273687 * z(Efficiency)
Sleep efficiency + TST → Daily stress,Daily_stress,"Efficiency, Total Sleep Time (TST)",21,-1.1976,12.6531,15.4814,0.0239,-0.8439,11.3166,14.1808,0.5175,-0.871,11.7298,14.2848,linear regression,Yes,use with caution,Daily_stress = 40.194577 -0.191276 * Efficiency +0.036644 * Total Sleep Time (TST),Daily_stress = 36.714286 -1.385721 * z(Efficiency) +2.816990 * z(Total Sleep Time (TST))
Sleep fragmentation → Daily stress,Daily_stress,Sleep Fragmentation Index,21,-1.1976,12.6531,15.4814,0.2874,-1.0474,12.2849,14.9429,0.6533,-1.0335,12.4342,14.8921,random forest,Yes,use with caution,Daily_stress = 17.223861 +0.750613 * Sleep Fragmentation Index,Daily_stress = 36.714286 +9.019695 * z(Sleep Fragmentation Index)
Activity inputs → Sleep efficiency,Efficiency,"screen_events, caffeine_events, alcohol_events, exercise_events",21,-0.2567,4.563,5.1821,0.3083,-3.3724,8.2165,9.6661,0.386,-1.118,5.9368,6.7275,baseline mean,No,do not use,Efficiency = 73.006801 -1.311610 * screen_events -0.000000 * caffeine_events -2.029804 * alcohol_events +3.189994 * exercise_events,Efficiency = 82.852857 -1.910836 * z(screen_events) -0.000000 * z(caffeine_events) -2.091018 * z(alcohol_events) +5.548673 * z(exercise_events)
Sleep efficiency → STAI1,STAI1,Efficiency,21,-0.3095,6.9694,8.6688,0.2541,-0.0205,6.5426,7.6527,0.6577,-0.7632,8.6828,10.0591,linear regression,Yes,use with caution,STAI1 = -13.826817 +0.579836 * Efficiency,STAI1 = 34.214286 +4.200681 * z(Efficiency)
Sleep efficiency → STAI2,STAI2,Efficiency,21,-7.396,6.1429,6.545,0.0946,-7.1048,4.9555,6.4305,0.4501,-10.2234,4.6635,7.5672,linear regression,Yes,use with caution,STAI2 = -4.716825 +0.506953 * Efficiency,STAI2 = 37.285714 +3.672673 * z(Efficiency)
