path,output,target,source_dataset,rows_used,baseline_test_r2,baseline_test_mae,baseline_test_rmse,linear_train_r2,linear_test_r2,linear_test_mae,linear_test_rmse,rf_train_r2,rf_test_r2,rf_test_mae,rf_test_rmse,best_model,rmse_improvement_pct,decision,limitation,raw_formula,standardized_formula
Sleep Quality Score → N_Back_Accuracy,memory,N_Back_Accuracy,Sleep Deprivation & Cognitive Performance (local CSV; public Kaggle page found),60,-0.0343,12.8731,14.8735,0.0003,-0.0433,12.8983,14.9378,0.1143,-0.0465,12.3896,14.9608,baseline mean,-0.43,do not use,"Small n=60; public Kaggle dataset metadata indicates sleep deprivation/cognitive task fields, but provenance/real-vs-synthetic must be verified before installation use.",N_Back_Accuracy = 75.5274 +0.0360 * Sleep_Quality_Score,N_Back_Accuracy = 75.8188 +0.2096 * z(Sleep_Quality_Score)
Sleep Quality Score → PVT_Reaction_Time,reaction time/attention,PVT_Reaction_Time,Sleep Deprivation & Cognitive Performance (local CSV; public Kaggle page found),60,-0.1652,85.9972,97.2644,0.0,-0.1696,86.1951,97.4454,0.0917,0.0463,78.6026,87.9914,random forest,9.53,weak / exploratory only,"Small n=60; public Kaggle dataset metadata indicates sleep deprivation/cognitive task fields, but provenance/real-vs-synthetic must be verified before installation use.",PVT_Reaction_Time = 342.9037 +0.0770 * Sleep_Quality_Score,PVT_Reaction_Time = 343.5274 +0.4485 * z(Sleep_Quality_Score)
Sleep Quality Score → Stroop_Task_Reaction_Time,processing speed/attention,Stroop_Task_Reaction_Time,Sleep Deprivation & Cognitive Performance (local CSV; public Kaggle page found),60,-0.3903,0.8686,1.0006,0.0414,-0.4862,0.8831,1.0346,0.1423,-0.4974,0.8901,1.0385,baseline mean,-3.39,do not use,"Small n=60; public Kaggle dataset metadata indicates sleep deprivation/cognitive task fields, but provenance/real-vs-synthetic must be verified before installation use.",Stroop_Task_Reaction_Time = 3.1908 +0.0263 * Sleep_Quality_Score,Stroop_Task_Reaction_Time = 3.4040 +0.1534 * z(Sleep_Quality_Score)
Sleep Quality Score → Stress_Level,stress,Stress_Level,Sleep Deprivation & Cognitive Performance (local CSV; public Kaggle page found),60,-0.3681,10.3333,11.9954,0.0302,-0.3025,10.0816,11.7044,0.2495,-0.6499,11.3725,13.1728,linear regression,2.43,weak / exploratory only,"Small n=60; public Kaggle dataset metadata indicates sleep deprivation/cognitive task fields, but provenance/real-vs-synthetic must be verified before installation use.",Stress_Level = 13.4241 +0.3182 * Sleep_Quality_Score,Stress_Level = 16.0000 +1.8526 * z(Sleep_Quality_Score)
Sleep Quality Score → Emotion_Regulation_Score,mood/emotion,Emotion_Regulation_Score,Sleep Deprivation & Cognitive Performance (local CSV; public Kaggle page found),60,-0.316,17.1455,19.0627,0.076,-0.4552,17.5002,20.0453,0.164,-0.6814,18.5028,21.5472,baseline mean,-5.15,do not use,"Small n=60; public Kaggle dataset metadata indicates sleep deprivation/cognitive task fields, but provenance/real-vs-synthetic must be verified before installation use.",Emotion_Regulation_Score = 34.6792 +0.7749 * Sleep_Quality_Score,Emotion_Regulation_Score = 40.9524 +4.5116 * z(Sleep_Quality_Score)
