path,output,target,rows,baseline_r2,baseline_mae,baseline_rmse,linear_train_r2,linear_test_r2,linear_mae,linear_rmse,comparison_model,comparison_train_r2,comparison_test_r2,comparison_mae,comparison_rmse,best_model,beats_baseline,decision,graph_path
B2: sleep quality only → mood,mood,mood_score,38,-0.0024,18.4183,21.2411,0.0015,-0.0289,18.5378,21.5204,random forest,0.2698,-0.0528,19.4862,21.7692,baseline mean,No,do not use,D:\Documentos\Sleep datasets\sleep_installation_data_analysis\Graphs\studentlife_sleep_quality_only_to_mood_actual_vs_predicted.png
C2: sleep quality only → stress,stress,stress_score,46,-0.0013,4.875,6.2771,0.0418,0.0326,5.0238,6.1702,random forest,0.2084,-0.0163,5.5402,6.324,linear regression,Yes,use with caution,D:\Documentos\Sleep datasets\sleep_installation_data_analysis\Graphs\studentlife_sleep_quality_only_to_stress_actual_vs_predicted.png
